Age,Gender,Nationality,Occupation,Monthly_Income,City,HealthDrinkFreq,HealthInfoSource,DietaryRestrictions,RegularBeverages,HealthyLifestyleImportance,HealthDrinkPreferences,DietChallenges,PurchaseLocation,WillingnessToSpend,LikelihoodTryNewBrand,WillingToSwitch,TryDrivers,FlavorPreferences,FunctionalNeeds,DrinkPerceptions,AssociatedBrands,LikelihoodToRecommend,SubscriptionInterest,Comments
18-24,Female,Asian Expat,Other,"20,001-35,000",Dubai,Daily,Magazines/TV,Lactose-Free,Soft Drinks,Very Important,"Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation, Other","Lack of Time, Cost",Convenience Stores,<5,Unlikely,Maybe,"Free Samples, Other","Berries, Other","Weight Management, Stress Relief","Not Tasty, Not Widely Available, Good Value","BrandC, Brand_M",Very Unlikely,Maybe,
55+,Male,Emirati,Retired,"10,001-20,000",Ajman,Frequently,Social Media,"Vegetarian, Gluten-Free","Juices, Tea/Coffee, Milk",Somewhat Important,"Taste, Low Sugar, Natural Ingredients, Brand Reputation, Convenience, Other","Lack of Information, Limited Options, None",Online,11-15,Very Unlikely,Maybe,"Free Samples, Discounts, Recommendations, Attractive Packaging, Other","Berries, Chocolate","Immunity, Digestion, Skin/Hair health, No Specific Issues","Not Tasty, Good Value, Innovative, Other","BrandD, Brand_R",Unlikely,Yes,
18-24,Male,Emirati,Working Professional,"10,001-20,000",Other,Rarely,Health Professionals,"Vegan, Diabetic","Water, Soft Drinks, Juices, Energy Drinks, Tea/Coffee, Milk, Other",Extremely Important,"Added Vitamins, Affordable Price, Convenience","Limited Options, Taste Preferences, None",Online,>25,Neutral,Yes,"Free Samples, Attractive Packaging, Health Benefits, Other","Berries, Citrus, Herbal, Plain, Other","Immunity, Digestion, Energy","Too Expensive, Not Tasty, Not Widely Available, Innovative","BrandC, Brand_Z",Very Unlikely,No,
18-24,Female,Western Expat,Working Professional,"<5,000",Abu Dhabi,Rarely,Health Professionals,Diabetic,"Water, Soft Drinks, Juices, Energy Drinks, Tea/Coffee, Milk",Important,"Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation, Convenience","Lack of Information, Limited Options, Taste Preferences, None",Supermarkets,<5,Very Unlikely,No,"Recommendations, Health Benefits, Other","Berries, Citrus, Tropical, Chocolate, Other","Weight Management, Skin/Hair health, No Specific Issues","Not Tasty, Good Value","BrandC, BrandB, Brand_M",Likely,Maybe,
55+,Other,Emirati,Other,">50,000",Sharjah,Never,Social Media,"Vegetarian, Vegan, Gluten-Free","Water, Juices, Sports Drinks, Tea/Coffee, Other",Somewhat Important,"Taste, Low Sugar, Brand Reputation","Lack of Time, Lack of Information, Taste Preferences, None",Supermarkets,>25,Very Unlikely,No,"Attractive Packaging, Other","Berries, Citrus, Tropical, Chocolate","Weight Management, Skin/Hair health","Not Tasty, Not Widely Available, Other","BrandD, Brand_S",Very Likely,Maybe,
55+,Prefer not to say,Emirati,Working Professional,"35,001-50,000",Sharjah,Occasionally,Other,Vegetarian,"Water, Soft Drinks, Juices, Sports Drinks",Very Important,Natural Ingredients,"Lack of Time, Lack of Information, Taste Preferences",Online,11-15,Very Likely,Maybe,"Free Samples, Discounts, Health Benefits","Tropical, Herbal, Chocolate, Other","Immunity, Digestion, Skin/Hair health, Stress Relief","Not Tasty, High Quality, Other","Brand_F, BrandD",Likely,No,
35-44,Female,Asian Expat,Working Professional,"10,001-20,000",Ras Al Khaimah,Occasionally,Health Professionals,"Vegan, Gluten-Free, Diabetic","Soft Drinks, Juices, Milk",Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins","Cost, Lack of Information",Supermarkets,<5,Very Likely,Yes,"Free Samples, Attractive Packaging, Health Benefits, Other","Citrus, Chocolate, Plain","Weight Management, Stress Relief, No Specific Issues","Not Tasty, Not Widely Available, Good Value","Brand_N, BrandB",Unlikely,No,
18-24,Other,Emirati,Retired,">50,000",Dubai,Frequently,Social Media,"Vegetarian, Lactose-Free","Water, Sports Drinks, Tea/Coffee, Other",Not Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins","Lack of Information, Taste Preferences",Gyms,<5,Very Unlikely,Maybe,"Discounts, Recommendations, Other","Tropical, Plain","Immunity, Skin/Hair health","Not Tasty, High Quality, Other","BrandC, BrandB, Brand_W",Very Unlikely,No,
25-34,Male,Emirati,Homemaker,"5,000-10,000",Other,Daily,Other,"Vegetarian, Vegan, Diabetic","Water, Soft Drinks, Juices, Milk, Other",Important,"Natural Ingredients, Added Vitamins","Lack of Time, Cost, Lack of Information, Taste Preferences",Gyms,11-15,Very Likely,No,"Discounts, Recommendations, Health Benefits","Berries, Citrus, Tropical, Chocolate","Immunity, Digestion, Energy, No Specific Issues","Too Expensive, High Quality, Innovative","BrandB, Brand_U",Likely,No,
55+,Male,Western Expat,Business Owner,"5,000-10,000",Ras Al Khaimah,Frequently,Friends/Family,"Vegan, Gluten-Free, Diabetic","Water, Soft Drinks, Energy Drinks, Milk, Other",Somewhat Important,"Natural Ingredients, Added Vitamins, Affordable Price, Convenience, Other",Limited Options,Cafes/Restaurants,11-15,Unlikely,Yes,"Recommendations, Health Benefits, Other","Berries, Tropical, Chocolate","Immunity, Skin/Hair health","Too Expensive, Not Tasty, High Quality, Innovative, Other","Brand_N, BrandA, BrandD",Likely,No,
45-54,Male,Arab Expat,Retired,"35,001-50,000",Other,Rarely,Magazines/TV,"Vegetarian, Vegan, Gluten-Free","Juices, Energy Drinks, Tea/Coffee, Milk",Very Important,"Taste, Natural Ingredients, Added Vitamins, Brand Reputation, Convenience","Lack of Time, Lack of Information",Supermarkets,>25,Unlikely,Yes,"Free Samples, Other","Berries, Tropical, Plain","Energy, Weight Management, Skin/Hair health, Stress Relief","Too Expensive, Not Tasty, Not Widely Available, Good Value","BrandC, BrandE, Brand_P",Neutral,No,
35-44,Female,Asian Expat,Retired,"5,000-10,000",Other,Never,Social Media,"Vegetarian, Lactose-Free","Energy Drinks, Sports Drinks, Tea/Coffee, Milk",Important,"Added Vitamins, Affordable Price, Other","Lack of Time, Limited Options, Taste Preferences",Supermarkets,<5,Neutral,Maybe,"Discounts, Recommendations, Other","Tropical, Herbal, Chocolate, Other","Immunity, Weight Management, Stress Relief, No Specific Issues","Too Expensive, Not Tasty, Innovative","BrandA, Brand_X",Likely,Yes,
35-44,Other,Emirati,Homemaker,"20,001-35,000",Ras Al Khaimah,Occasionally,Health Professionals,"Vegetarian, Vegan, Lactose-Free","Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee, Milk, Other",Very Important,"Taste, Low Sugar, Added Vitamins, Affordable Price, Convenience","Cost, Taste Preferences, None",Convenience Stores,11-15,Unlikely,Maybe,"Recommendations, Attractive Packaging, Other","Citrus, Chocolate, Other","Weight Management, Skin/Hair health, Stress Relief","Not Tasty, Innovative","BrandC, BrandA",Very Unlikely,Yes,
18-24,Female,Arab Expat,Business Owner,"<5,000",Other,Daily,Magazines/TV,"Vegetarian, Vegan, Gluten-Free, Lactose-Free, Diabetic","Water, Juices, Sports Drinks, Tea/Coffee, Milk",Extremely Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Other","Lack of Time, Cost, Limited Options, Taste Preferences",Convenience Stores,>25,Very Unlikely,Yes,"Free Samples, Health Benefits, Other","Citrus, Tropical","Immunity, Digestion, Weight Management, Skin/Hair health, No Specific Issues","Too Expensive, Innovative, Other","Brand_T, BrandB, BrandD",Very Likely,No,
Under 18,Female,Western Expat,Working Professional,"10,001-20,000",Ras Al Khaimah,Occasionally,Other,"Vegetarian, Vegan, Gluten-Free, Lactose-Free","Water, Juices, Energy Drinks, Tea/Coffee, Other",Not Important,"Low Sugar, Natural Ingredients, Convenience","Lack of Time, Cost",Gyms,16-25,Likely,No,"Attractive Packaging, Other",Berries,"Immunity, Digestion, Skin/Hair health, No Specific Issues","Too Expensive, Not Tasty, High Quality, Other","BrandC, Brand_O, BrandA",Very Likely,Maybe,
25-34,Prefer not to say,Asian Expat,Business Owner,">50,000",Abu Dhabi,Rarely,Magazines/TV,Gluten-Free,"Water, Soft Drinks, Juices, Energy Drinks, Sports Drinks, Tea/Coffee, Milk",Extremely Important,"Affordable Price, Convenience","Lack of Time, Cost, Limited Options, Taste Preferences",Cafes/Restaurants,11-15,Very Likely,No,"Free Samples, Recommendations, Attractive Packaging, Other",Citrus,"Immunity, Weight Management, Skin/Hair health, Stress Relief","Too Expensive, Good Value","BrandB, BrandD",Very Likely,Yes,
Under 18,Prefer not to say,Western Expat,Homemaker,"<5,000",Dubai,Daily,Social Media,"Vegetarian, Gluten-Free, Lactose-Free","Tea/Coffee, Milk",Not Important,"Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation","Taste Preferences, None",Gyms,<5,Very Unlikely,Yes,"Free Samples, Discounts, Attractive Packaging, Health Benefits","Berries, Tropical, Plain","Digestion, Energy, Skin/Hair health, Stress Relief","Too Expensive, Not Tasty","Brand_G, BrandE, BrandD",Very Unlikely,Yes,
Under 18,Prefer not to say,Arab Expat,Student,"35,001-50,000",Ras Al Khaimah,Rarely,Friends/Family,"Vegetarian, Gluten-Free, Diabetic","Water, Juices, Tea/Coffee",Extremely Important,"Added Vitamins, Affordable Price, Convenience",Cost,Convenience Stores,16-25,Very Likely,Maybe,"Free Samples, Discounts, Recommendations, Health Benefits",Plain,"Digestion, Stress Relief, No Specific Issues","Too Expensive, Not Widely Available, High Quality","BrandE, BrandD",Very Likely,Maybe,
55+,Other,Asian Expat,Student,"<5,000",Dubai,Occasionally,Other,"Vegetarian, Vegan, Gluten-Free, Diabetic","Water, Juices, Sports Drinks, Milk, Other",Very Important,"Taste, Natural Ingredients, Affordable Price, Convenience, Other","Lack of Time, Cost",Convenience Stores,11-15,Neutral,Maybe,"Free Samples, Discounts, Attractive Packaging, Health Benefits, Other","Berries, Citrus, Tropical, Chocolate, Other","Immunity, Digestion, Stress Relief","Too Expensive, Not Tasty, Not Widely Available, Innovative","Brand_K, BrandB",Very Likely,Yes,
45-54,Male,Emirati,Business Owner,"10,001-20,000",Sharjah,Occasionally,Other,"Lactose-Free, Diabetic","Water, Soft Drinks, Energy Drinks, Sports Drinks, Tea/Coffee, Milk",Very Important,"Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price","Lack of Information, Taste Preferences",Cafes/Restaurants,5-10,Very Unlikely,No,"Free Samples, Health Benefits","Tropical, Herbal, Other","Digestion, Energy, Stress Relief, No Specific Issues","Not Widely Available, Other","BrandA, Brand_I",Unlikely,Yes,
18-24,Prefer not to say,Arab Expat,Student,">50,000",Ras Al Khaimah,Rarely,Other,"Vegan, Diabetic","Water, Soft Drinks, Juices, Milk",Extremely Important,"Affordable Price, Convenience","Cost, Limited Options",Convenience Stores,<5,Very Unlikely,No,"Discounts, Attractive Packaging","Berries, Tropical, Herbal, Plain","Weight Management, No Specific Issues",Too Expensive,"BrandA, Brand_T",Unlikely,No,
25-34,Male,Western Expat,Other,"10,001-20,000",Abu Dhabi,Daily,Magazines/TV,"Vegetarian, Vegan, Gluten-Free","Water, Sports Drinks",Somewhat Important,"Low Sugar, Convenience, Other","Lack of Time, Taste Preferences, None",Supermarkets,<5,Very Unlikely,Yes,"Recommendations, Attractive Packaging, Health Benefits","Berries, Herbal, Chocolate","Immunity, Digestion, Skin/Hair health, Stress Relief","Not Tasty, Good Value, High Quality","BrandE, Brand_Z",Neutral,Yes,
18-24,Other,Asian Expat,Student,"35,001-50,000",Sharjah,Rarely,Friends/Family,Diabetic,"Juices, Energy Drinks, Sports Drinks, Milk",Extremely Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Brand Reputation, Convenience","Cost, Limited Options",Online,>25,Neutral,No,"Free Samples, Discounts, Attractive Packaging, Other","Berries, Citrus, Herbal, Plain","Digestion, Weight Management, Stress Relief","Too Expensive, Not Tasty, Not Widely Available, High Quality","BrandA, Brand_R",Neutral,Yes,
18-24,Prefer not to say,Arab Expat,Business Owner,"10,001-20,000",Ras Al Khaimah,Daily,Social Media,"Vegan, Lactose-Free, Diabetic","Water, Soft Drinks, Energy Drinks, Sports Drinks, Tea/Coffee, Milk",Important,"Low Sugar, Affordable Price","Lack of Time, Lack of Information, Limited Options, Taste Preferences, None",Gyms,5-10,Very Unlikely,No,"Free Samples, Recommendations, Attractive Packaging","Berries, Citrus, Herbal","Immunity, Skin/Hair health","Good Value, High Quality","BrandA, Brand_Y",Likely,Yes,
35-44,Prefer not to say,Arab Expat,Working Professional,"5,000-10,000",Other,Frequently,Social Media,"Lactose-Free, Diabetic","Water, Juices, Energy Drinks, Tea/Coffee, Other",Somewhat Important,"Natural Ingredients, Affordable Price","Lack of Information, Limited Options, Taste Preferences",Other,11-15,Very Likely,Maybe,"Free Samples, Discounts, Other","Berries, Citrus, Tropical, Herbal, Chocolate","Immunity, Energy, Skin/Hair health, Stress Relief, No Specific Issues","Too Expensive, Not Tasty, Not Widely Available","Brand_K, BrandD",Likely,No,
Under 18,Male,Western Expat,Homemaker,">50,000",Sharjah,Frequently,Magazines/TV,"Gluten-Free, Diabetic","Water, Sports Drinks",Very Important,"Added Vitamins, Brand Reputation","Cost, Taste Preferences, None",Cafes/Restaurants,5-10,Likely,Maybe,"Discounts, Other","Herbal, Other","Energy, Weight Management, Skin/Hair health, Stress Relief","Not Tasty, Good Value, Innovative","Brand_F, BrandD",Likely,Maybe,
45-54,Female,Western Expat,Student,">50,000",Ajman,Daily,Social Media,"Vegetarian, Vegan","Water, Other",Extremely Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Other","Lack of Information, Taste Preferences, None",Convenience Stores,11-15,Very Unlikely,No,"Discounts, Health Benefits","Berries, Herbal, Chocolate, Plain","Digestion, Weight Management, Skin/Hair health, Stress Relief","Not Tasty, Good Value, High Quality","BrandA, Brand_V",Neutral,Maybe,
45-54,Other,Emirati,Business Owner,"<5,000",Ajman,Rarely,Social Media,"Vegetarian, Vegan, Gluten-Free, Lactose-Free, Diabetic","Water, Juices, Energy Drinks, Sports Drinks, Tea/Coffee, Milk",Somewhat Important,"Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation, Convenience, Other","Lack of Time, Cost, Lack of Information, Limited Options, Taste Preferences",Supermarkets,>25,Neutral,Maybe,"Discounts, Recommendations, Health Benefits","Berries, Citrus, Herbal, Plain","Digestion, Energy, Stress Relief, No Specific Issues",Not Widely Available,"Brand_J, BrandD",Very Likely,Maybe,
45-54,Other,Emirati,Homemaker,"20,001-35,000",Ajman,Daily,Friends/Family,"Vegetarian, Vegan, Lactose-Free","Water, Soft Drinks, Energy Drinks, Tea/Coffee, Other",Important,"Natural Ingredients, Affordable Price, Convenience",Taste Preferences,Gyms,16-25,Neutral,Maybe,"Free Samples, Recommendations","Berries, Chocolate, Plain","Immunity, Weight Management, Skin/Hair health","High Quality, Innovative","Brand_N, BrandB",Likely,Maybe,
45-54,Prefer not to say,Arab Expat,Other,"20,001-35,000",Sharjah,Occasionally,Magazines/TV,Vegetarian,"Water, Soft Drinks, Juices, Energy Drinks",Not Important,"Natural Ingredients, Convenience","Lack of Time, Lack of Information, None",Convenience Stores,5-10,Very Unlikely,Maybe,"Free Samples, Attractive Packaging, Health Benefits","Berries, Citrus, Tropical","Immunity, Skin/Hair health, No Specific Issues","Not Tasty, High Quality, Innovative","Brand_G, BrandA",Very Likely,Yes,
55+,Other,Western Expat,Working Professional,"20,001-35,000",Dubai,Rarely,Magazines/TV,None,"Water, Sports Drinks, Milk",Very Important,"Taste, Low Sugar, Natural Ingredients","Lack of Time, Limited Options",Supermarkets,<5,Neutral,No,"Free Samples, Discounts, Attractive Packaging, Health Benefits, Other","Berries, Plain","Immunity, Energy, Skin/Hair health, No Specific Issues","Not Tasty, Not Widely Available, Other","BrandC, Brand_U",Very Likely,No,
55+,Male,Arab Expat,Retired,"35,001-50,000",Ras Al Khaimah,Daily,Other,Lactose-Free,"Water, Juices, Energy Drinks, Milk",Somewhat Important,"Taste, Natural Ingredients, Added Vitamins, Affordable Price, Other","Taste Preferences, None",Gyms,11-15,Unlikely,Maybe,Other,"Plain, Other","Immunity, Digestion, Skin/Hair health, Stress Relief","Not Widely Available, Good Value, Other","BrandC, BrandE, Brand_L",Neutral,No,
45-54,Female,Other,Homemaker,"20,001-35,000",Other,Occasionally,Social Media,"Vegan, Gluten-Free","Water, Soft Drinks, Sports Drinks, Tea/Coffee, Milk, Other",Somewhat Important,"Taste, Affordable Price, Brand Reputation","Lack of Time, Lack of Information, Taste Preferences, None",Gyms,5-10,Neutral,No,"Free Samples, Recommendations, Attractive Packaging, Health Benefits, Other","Tropical, Other","Immunity, Digestion, Skin/Hair health, No Specific Issues","Not Tasty, Not Widely Available, High Quality","BrandC, BrandA, Brand_S",Unlikely,Yes,
25-34,Female,Western Expat,Retired,">50,000",Other,Never,Health Professionals,"Vegetarian, Lactose-Free","Water, Soft Drinks, Sports Drinks, Tea/Coffee",Somewhat Important,"Affordable Price, Convenience","Lack of Time, Cost, Limited Options, None",Other,11-15,Likely,No,"Free Samples, Discounts, Recommendations, Other","Berries, Tropical, Chocolate, Other",Weight Management,"Too Expensive, Not Tasty, Good Value, High Quality","BrandA, Brand_Y",Unlikely,Maybe,
55+,Other,Other,Homemaker,">50,000",Sharjah,Occasionally,Friends/Family,None,"Juices, Tea/Coffee, Milk",Extremely Important,"Low Sugar, Added Vitamins, Affordable Price, Brand Reputation, Convenience","Cost, Lack of Information, Limited Options",Other,5-10,Unlikely,Yes,Health Benefits,"Berries, Citrus, Tropical, Herbal, Chocolate, Plain","Immunity, Weight Management, Skin/Hair health","Not Tasty, High Quality, Innovative","BrandC, Brand_Y",Very Unlikely,No,
55+,Female,Other,Business Owner,"<5,000",Ajman,Daily,Friends/Family,Vegan,"Water, Energy Drinks, Sports Drinks, Tea/Coffee",Very Important,"Taste, Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation, Convenience, Other","Lack of Information, None",Gyms,<5,Very Likely,Yes,"Free Samples, Discounts, Recommendations, Health Benefits, Other","Berries, Other","Immunity, Stress Relief, No Specific Issues","Not Widely Available, High Quality, Innovative","BrandC, BrandE, Brand_S",Unlikely,Yes,
25-34,Male,Western Expat,Other,"10,001-20,000",Abu Dhabi,Rarely,Health Professionals,"Vegan, Gluten-Free","Water, Energy Drinks",Very Important,"Low Sugar, Brand Reputation, Convenience","Lack of Information, Limited Options, None",Supermarkets,11-15,Unlikely,Yes,"Attractive Packaging, Health Benefits","Berries, Tropical, Chocolate","Energy, Skin/Hair health","Too Expensive, Not Tasty, Other","BrandE, BrandB",Likely,Yes,
45-54,Prefer not to say,Emirati,Student,"5,000-10,000",Other,Rarely,Other,"Vegetarian, Lactose-Free, Diabetic","Water, Juices, Energy Drinks, Tea/Coffee, Milk",Extremely Important,"Taste, Natural Ingredients, Affordable Price","Lack of Time, Lack of Information",Convenience Stores,11-15,Likely,No,"Free Samples, Recommendations, Attractive Packaging, Other","Berries, Herbal, Other",Weight Management,Not Widely Available,"BrandB, BrandD",Neutral,Yes,
18-24,Prefer not to say,Arab Expat,Other,"20,001-35,000",Abu Dhabi,Frequently,Health Professionals,"Vegetarian, Gluten-Free, Lactose-Free","Water, Soft Drinks, Juices, Sports Drinks, Milk",Extremely Important,Taste,"Lack of Time, Lack of Information, Taste Preferences, None",Cafes/Restaurants,16-25,Unlikely,Yes,"Attractive Packaging, Other","Citrus, Tropical, Herbal, Plain","Immunity, Weight Management","High Quality, Innovative","BrandC, BrandA, BrandB",Very Likely,Yes,"Love the idea, but sugar content?"
55+,Other,Asian Expat,Working Professional,"20,001-35,000",Abu Dhabi,Daily,Health Professionals,Vegetarian,"Water, Energy Drinks, Sports Drinks, Tea/Coffee",Extremely Important,"Taste, Low Sugar, Added Vitamins, Affordable Price, Convenience","Lack of Time, Cost, Limited Options, Taste Preferences",Convenience Stores,>25,Very Unlikely,Maybe,Other,"Citrus, Herbal, Plain","Immunity, Digestion, Energy, Weight Management, Stress Relief",Not Widely Available,"BrandE, Brand_M",Neutral,No,
18-24,Other,Asian Expat,Retired,"20,001-35,000",Other,Occasionally,Other,Diabetic,"Water, Energy Drinks, Tea/Coffee",Important,"Natural Ingredients, Affordable Price, Brand Reputation","Lack of Time, Cost, Taste Preferences, None",Gyms,5-10,Neutral,Yes,"Free Samples, Discounts, Attractive Packaging","Tropical, Other","Immunity, Digestion, Weight Management, Skin/Hair health, Stress Relief, No Specific Issues","Not Widely Available, Good Value, Innovative","BrandC, Brand_R",Very Unlikely,Yes,
18-24,Other,Western Expat,Student,"5,000-10,000",Dubai,Occasionally,Health Professionals,"Vegetarian, Vegan, Gluten-Free","Water, Juices, Milk, Other",Somewhat Important,"Taste, Low Sugar, Affordable Price, Brand Reputation","Lack of Time, Limited Options, Taste Preferences, None",Convenience Stores,<5,Very Unlikely,No,"Free Samples, Discounts, Recommendations, Attractive Packaging, Health Benefits, Other","Berries, Citrus, Tropical, Chocolate, Other","Immunity, Energy, Weight Management, Skin/Hair health","High Quality, Innovative","BrandC, Brand_P",Very Unlikely,No,
25-34,Prefer not to say,Emirati,Retired,"<5,000",Other,Daily,Other,"Gluten-Free, Lactose-Free, Diabetic","Water, Soft Drinks, Energy Drinks, Sports Drinks, Tea/Coffee, Milk, Other",Important,"Taste, Natural Ingredients, Affordable Price, Other","Lack of Time, Lack of Information, Taste Preferences",Other,16-25,Very Unlikely,Maybe,"Free Samples, Discounts, Attractive Packaging, Other","Citrus, Tropical, Herbal, Chocolate, Other",Energy,"Not Tasty, Good Value, Innovative","Brand_P, BrandB",Very Unlikely,Yes,
45-54,Other,Emirati,Other,"20,001-35,000",Other,Occasionally,Social Media,"Vegetarian, Diabetic","Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee",Very Important,"Natural Ingredients, Convenience","Cost, Lack of Information, Limited Options, Taste Preferences",Convenience Stores,16-25,Very Unlikely,Maybe,"Recommendations, Attractive Packaging, Health Benefits, Other","Berries, Citrus, Tropical, Herbal, Chocolate, Plain","Immunity, Digestion, Energy, Weight Management, Stress Relief","Good Value, High Quality, Innovative","Brand_I, BrandD",Very Likely,Yes,
Under 18,Female,Emirati,Working Professional,"10,001-20,000",Ras Al Khaimah,Never,Other,"Vegetarian, Vegan, Gluten-Free, Diabetic","Water, Juices, Sports Drinks, Milk, Other",Extremely Important,"Taste, Low Sugar, Natural Ingredients, Convenience","Lack of Time, Cost",Online,>25,Unlikely,Maybe,"Free Samples, Recommendations, Attractive Packaging, Other","Citrus, Herbal, Chocolate, Plain","Immunity, Energy, Weight Management, Skin/Hair health, Stress Relief","Too Expensive, Not Widely Available, Good Value","BrandB, Brand_Y",Very Unlikely,No,
18-24,Prefer not to say,Asian Expat,Homemaker,"35,001-50,000",Other,Frequently,Magazines/TV,"Gluten-Free, Lactose-Free, Diabetic","Water, Sports Drinks, Tea/Coffee, Other",Somewhat Important,"Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation",Taste Preferences,Other,<5,Very Likely,Yes,"Attractive Packaging, Other","Berries, Citrus, Tropical, Herbal, Chocolate, Plain","Weight Management, Skin/Hair health, No Specific Issues","Not Tasty, Not Widely Available","BrandE, Brand_I, BrandD",Very Unlikely,Yes,
45-54,Male,Other,Homemaker,"5,000-10,000",Ras Al Khaimah,Rarely,Magazines/TV,"Vegan, Gluten-Free","Water, Soft Drinks, Juices, Energy Drinks",Not Important,"Taste, Low Sugar, Natural Ingredients, Brand Reputation","Cost, Taste Preferences",Other,5-10,Neutral,Yes,"Recommendations, Attractive Packaging, Health Benefits, Other","Chocolate, Other","Immunity, Weight Management, Stress Relief","Not Tasty, Innovative, Other",BrandE,Very Unlikely,Maybe,
35-44,Other,Asian Expat,Retired,"<5,000",Ajman,Occasionally,Health Professionals,Lactose-Free,"Water, Juices, Milk",Somewhat Important,"Natural Ingredients, Affordable Price, Convenience","Lack of Information, Limited Options, Taste Preferences",Gyms,11-15,Unlikely,Yes,"Free Samples, Discounts, Attractive Packaging","Citrus, Tropical, Other","Immunity, Digestion, Energy, Weight Management, Stress Relief","Not Tasty, Not Widely Available, Other","BrandA, Brand_V",Very Likely,No,
Under 18,Prefer not to say,Emirati,Retired,">50,000",Dubai,Never,Magazines/TV,"Vegetarian, Gluten-Free, Lactose-Free, Diabetic","Water, Soft Drinks, Juices, Sports Drinks, Milk",Not Important,Affordable Price,"Lack of Time, Cost, Lack of Information, Taste Preferences",Gyms,>25,Very Unlikely,Yes,"Free Samples, Health Benefits, Other",Other,"Immunity, Stress Relief, No Specific Issues","Not Tasty, Good Value, Innovative",BrandD,Very Unlikely,No,
Under 18,Other,Asian Expat,Homemaker,"10,001-20,000",Abu Dhabi,Daily,Other,"Vegetarian, Vegan, Gluten-Free, Diabetic","Water, Juices, Sports Drinks, Milk",Somewhat Important,"Taste, Added Vitamins","Lack of Time, Cost, None",Convenience Stores,11-15,Likely,Maybe,"Discounts, Recommendations, Attractive Packaging","Chocolate, Plain","Immunity, Energy, Weight Management, No Specific Issues","Too Expensive, High Quality, Innovative","BrandB, BrandD, Brand_X",Likely,Yes,
Under 18,Prefer not to say,Asian Expat,Retired,"5,000-10,000",Other,Occasionally,Social Media,"Vegetarian, Gluten-Free, Lactose-Free","Water, Soft Drinks, Juices, Sports Drinks, Tea/Coffee, Milk",Extremely Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Brand Reputation",Cost,Convenience Stores,16-25,Likely,No,"Free Samples, Recommendations, Health Benefits, Other","Berries, Chocolate, Plain","Immunity, Energy, Skin/Hair health, Stress Relief","Too Expensive, Not Widely Available, Good Value","BrandE, BrandA, BrandB",Neutral,No,
45-54,Prefer not to say,Arab Expat,Homemaker,">50,000",Dubai,Daily,Other,Gluten-Free,"Water, Sports Drinks, Milk",Not Important,"Taste, Low Sugar, Natural Ingredients, Added Vitamins, Affordable Price, Other","Cost, Taste Preferences, None",Gyms,11-15,Very Unlikely,Yes,"Free Samples, Discounts, Health Benefits","Herbal, Plain","Immunity, Digestion, Weight Management","Not Tasty, Good Value","BrandE, BrandA",Very Unlikely,No,
25-34,Prefer not to say,Western Expat,Retired,"5,000-10,000",Abu Dhabi,Never,Friends/Family,"Vegetarian, Vegan, Gluten-Free, Lactose-Free, Diabetic","Water, Soft Drinks, Energy Drinks",Not Important,"Taste, Affordable Price","Cost, Lack of Information, Limited Options",Supermarkets,5-10,Very Likely,No,Other,"Citrus, Tropical, Herbal, Other","Skin/Hair health, Stress Relief","Not Widely Available, High Quality","BrandC, Brand_Y",Very Unlikely,Maybe,
25-34,Male,Other,Student,"35,001-50,000",Dubai,Never,Health Professionals,"Vegetarian, Vegan, Gluten-Free","Water, Energy Drinks, Sports Drinks, Milk",Very Important,"Taste, Low Sugar, Affordable Price, Other","Cost, None",Convenience Stores,5-10,Neutral,Maybe,"Free Samples, Attractive Packaging, Health Benefits","Citrus, Other","Energy, Weight Management, No Specific Issues","Not Tasty, High Quality, Other","BrandE, BrandD",Neutral,No,
35-44,Prefer not to say,Arab Expat,Retired,"35,001-50,000",Abu Dhabi,Rarely,Social Media,Lactose-Free,"Water, Sports Drinks, Milk",Somewhat Important,"Taste, Added Vitamins, Convenience, Other","Lack of Information, None",Supermarkets,11-15,Unlikely,No,"Discounts, Recommendations, Attractive Packaging, Health Benefits, Other","Berries, Herbal, Plain",Stress Relief,"Not Tasty, Good Value, Innovative, Other","BrandB, Brand_M",Very Unlikely,Maybe,
